input,response
procrastinating everything,Procrastination often comes from anxiety or perfectionism. What makes it hard to start?
avoiding responsibilities,Avoidance provides short-term relief but increases long-term stress. What feels hardest to face?
hiding from people,Social withdrawal is common with depression and anxiety. What makes interaction hard?
canceling plans,Canceling plans might signal depression or social anxiety. What makes it hard to follow through?
making excuses,Making excuses to avoid things suggests anxiety or depression. What are you really avoiding?
lying about how im doing,Hiding struggles is exhausting. Who could you be honest with?
pretending im fine,The 'I'm fine' mask is heavy. What would happen if you were honest?
fake smile,Smiling through pain is exhausting. Where can you drop the mask?
hiding my pain,Hiding pain is isolating. Sharing it reduces its power. Who feels safe?
suffering in silence,Suffering alone makes it worse. Your pain deserves to be heard. Will you share it?
nobody knows,Keeping struggles secret is lonely. Who could you tell? What holds you back?
afraid to tell anyone,Fear of sharing is common. What's the worst you imagine happening if you do?
scared of judgment,Fear of judgment keeps us isolated. Most people are more understanding than we expect.
worried what people think,Others' opinions matter less than your wellbeing. What do YOU think you need?
dont want to burden,You're not a burden. People who care want to help. Let them.
dont want to bother,Your needs aren't bothersome. They're valid. People want to support you.
should handle this alone,'Should' is often based on unfair expectations. You don't have to do this alone.
weakness to ask for help,"Asking for help is strength and wisdom, not weakness. Strong people ask for help."
failed if i get help,"Seeking help is success, not failure. It takes courage and wisdom."
therapy is for weak people,Therapy is for anyone wanting to improve their life. It takes strength to go.
medication means im weak,Medication corrects brain chemistry. Would you judge someone with diabetes for taking insulin?
ashamed of mental illness,"Mental illness isn't shameful. It's a health condition, like any other."
embarrassed about depression,"Depression is medical, not character flaw. 1 in 5 people experience it."
hiding my anxiety,Hiding anxiety is exhausting. Talking about it reduces shame and helps management.
secret panic attacks,Secret panic attacks sound lonely. Sharing about them can help.
nobody knows i self harm,"Self-harm needs professional help. Please tell someone safe - a therapist, doctor, or trusted person."
hiding my struggles,Hiding struggles prevents getting help. What would make it safe to share?
living a lie,Hiding who you are or what you're experiencing is exhausting. Authenticity heals.
two different people,Presenting differently to different people is exhausting. Where can you be fully yourself?
exhausted from pretending,Pretending takes enormous energy. What would happen if you stopped?
tired of fighting,Fighting mental illness is exhausting. Rest isn't giving up. What do you need?
battle every day,Daily battles wear you down. You're a warrior. But warriors also need rest and support.
constant struggle,Constant struggle without relief is unsustainable. What changes would help?
never ending,"It feels never-ending, but conditions can improve with right support. Don't lose hope."
no relief,Lack of relief suggests you need different or more intensive treatment. Talk to your provider.
